Time (ps),EPTOT
239.0,-908963.5535
239.2,-909062.856
239.4,-908998.0214
239.6,-908733.3171
239.8,-908875.6485
240.0,-909216.811
240.2,-909789.8962
240.4,-909423.5028
240.6,-908626.1192
240.8,-908787.661
241.0,-909117.0776
241.2,-908897.4485
241.4,-909046.6536
241.6,-909012.0355
241.8,-908712.7014
242.0,-908819.0036
242.2,-909049.2575
242.4,-909156.7039
242.6,-909167.1456
242.8,-908630.1737
243.0,-909026.4843
243.2,-908712.6895
243.4,-908644.6356
243.6,-909441.7838
243.8,-909615.8029
244.0,-909316.6623
244.2,-909698.071
244.4,-909427.4642
244.6,-908997.1125
244.8,-909186.2563
245.0,-909115.9719
245.2,-909200.6755
245.4,-909056.2341
245.6,-909368.7227
245.8,-909016.496
246.0,-909176.906
246.2,-909502.9646
246.4,-909399.749
246.6,-909307.4508
246.8,-909422.9576
247.0,-909233.8077
247.2,-909241.2607
247.4,-909312.3518
247.6,-909114.5199
247.8,-909408.8118
248.0,-908799.7484
248.2,-909045.9302
248.4,-909526.158
248.6,-909642.6889
248.8,-909214.8204
249.0,-909033.5768
249.2,-909340.347
249.4,-909240.2601
249.6,-909061.4564
249.8,-909146.0296
250.0,-909409.6012
250.2,-909361.8707
250.4,-909460.3468
250.6,-909391.7659
250.8,-909615.8512
251.0,-909351.1418
251.2,-909347.3286
251.4,-909012.416
251.6,-909542.2159
251.8,-909525.0743
252.0,-909603.2372
252.2,-909770.5377
252.4,-909360.6906
252.6,-909538.3389
252.8,-909263.6234
253.0,-909218.0299
253.2,-909147.8963
253.4,-908819.8143
253.6,-909028.1476
253.8,-909128.6093
254.0,-909695.3078
254.2,-909215.586
254.4,-909524.5341
254.6,-909523.6481
254.8,-909492.3202
255.0,-909325.7409
255.2,-909664.9403
255.4,-909583.1251
255.6,-909450.0356
255.8,-909273.202
256.0,-909416.9848
256.2,-909249.8573
256.4,-909232.0944
256.6,-909433.4835
256.8,-909530.8599
257.0,-909557.8445
257.2,-909308.221
257.4,-909592.2579
257.6,-909898.8566
257.8,-909634.3607
258.0,-910082.0642
258.2,-909734.6358
258.4,-909676.6476
258.6,-909587.8577
258.8,-909712.2919
259.0,-909752.6758
259.2,-909398.1409
259.4,-909873.3774
259.6,-909484.5913
259.8,-909939.9746
260.0,-909514.2464
260.2,-909675.255
260.4,-909877.1704
260.6,-909806.7304
260.8,-909522.0739
261.0,-909657.3181
261.2,-909674.6753
261.4,-910041.2174
261.6,-909962.2485
261.8,-910174.0316
262.0,-909731.0121
262.2,-909906.567
262.4,-909591.1728
262.6,-909872.8065
262.8,-909775.904
263.0,-910065.5755
263.2,-909973.7096
263.4,-909711.12
263.6,-909960.0314
263.8,-910092.2031
264.0,-909893.8242
264.2,-909500.8318
264.4,-909886.4536
264.6,-909878.2515
264.8,-909758.4303
265.0,-909654.4105
265.2,-909844.569
265.4,-909494.9395
265.6,-909625.7753
265.8,-909757.33
266.0,-910179.5685
266.2,-910416.7099
266.4,-909849.9993
266.6,-910163.0903
266.8,-910183.3826
