Time (ps),ETOT
215.8,-835771.7826
216.0,-836155.4038
216.2,-836175.5115
216.4,-836118.416
216.6,-836361.8458
216.8,-836278.0391
217.0,-836028.9154
217.2,-835625.0272
217.4,-835996.4351
217.6,-836089.5092
217.8,-835925.1272
218.0,-835826.5323
218.2,-836258.1254
218.4,-835960.7423
218.6,-835973.9437
218.8,-835719.417
219.0,-835996.3273
219.2,-835793.1093
219.4,-835479.5887
219.6,-835251.6543
219.8,-835713.1644
220.0,-835733.489
220.2,-836134.2102
220.4,-836427.9555
220.6,-836160.5839
220.8,-836069.3147
221.0,-836187.7775
221.2,-836166.3441
221.4,-835955.8888
221.6,-836143.9197
221.8,-836041.1423
222.0,-836135.883
222.2,-835892.5817
222.4,-836030.397
222.6,-835814.0002
222.8,-835558.4025
223.0,-835985.3494
223.2,-836357.6193
223.4,-836472.999
223.6,-836439.9688
223.8,-836339.124
224.0,-836277.6223
224.2,-836110.498
224.4,-835757.4362
224.6,-835754.3836
224.8,-836162.8358
225.0,-836528.0152
225.2,-836092.4349
225.4,-836097.3244
225.6,-836448.1779
225.8,-836052.5671
226.0,-836299.4216
226.2,-836027.6711
226.4,-836141.9643
226.6,-835636.8707
226.8,-835668.8081
227.0,-836420.9968
227.2,-836241.8556
227.4,-836257.9207
227.6,-836178.7723
227.8,-836116.4001
228.0,-836081.2051
228.2,-835814.1775
228.4,-835743.7353
228.6,-835804.2409
228.8,-835800.5752
229.0,-835775.017
229.2,-835972.7673
229.4,-836114.8185
229.6,-836520.9156
229.8,-836731.8253
230.0,-836956.1728
230.2,-836898.0447
230.4,-836107.4015
230.6,-835638.9233
230.8,-835746.0123
231.0,-835777.99
231.2,-835960.4237
231.4,-836310.6863
231.6,-836574.6701
231.8,-836366.5274
232.0,-836627.346
232.2,-836503.3564
232.4,-836129.8766
232.6,-836420.69
232.8,-836356.5934
233.0,-836641.8686
233.2,-836375.2736
233.4,-836718.4555
233.6,-836963.4574
233.8,-836844.9516
234.0,-836845.4269
234.2,-836274.5117
234.4,-836230.5564
234.6,-836089.2121
234.8,-836274.6698
235.0,-836409.1846
235.2,-836422.8402
235.4,-836469.2179
235.6,-836446.5383
235.8,-836820.7847
236.0,-836921.7819
236.2,-836461.1714
236.4,-836704.1479
236.6,-836660.3022
236.8,-836648.3587
237.0,-836479.1908
237.2,-836101.1448
237.4,-836243.1589
237.6,-836244.8973
