Time (ps),ETOT
189.4,-571618.6489
189.6,-571587.808
189.8,-571687.5746
190.0,-571521.6299
190.2,-571249.9092
190.4,-571782.4708
190.6,-571685.6796
190.8,-571847.2302
191.0,-572090.604
191.2,-571944.5814
191.4,-571965.6145
191.6,-571920.2058
191.8,-571766.1334
192.0,-571823.6721
192.2,-572038.2699
192.4,-572130.592
192.6,-572104.7525
192.8,-571697.9199
193.0,-571876.9312
193.2,-572052.2478
193.4,-571990.1415
193.6,-571854.906
193.8,-572048.9047
194.0,-571981.0343
194.2,-572328.6912
194.4,-572718.9647
194.6,-572551.8506
194.8,-571931.2433
195.0,-572228.1431
195.2,-572361.3213
195.4,-572267.3877
195.6,-572105.4023
195.8,-572031.9942
196.0,-571818.0675
196.2,-571922.1548
196.4,-572151.3765
196.6,-572062.1464
196.8,-571880.3442
197.0,-571981.2131
197.2,-571804.8571
197.4,-572002.6775
197.6,-572012.6737
197.8,-572346.3863
198.0,-571982.1835
198.2,-571884.112
198.4,-571861.9148
198.6,-572134.0685
198.8,-572403.8958
199.0,-572352.4028
199.2,-572347.7427
199.4,-572369.264
199.6,-572566.856
199.8,-572630.8825
200.0,-572558.4476
200.2,-572355.7556
200.4,-572254.5663
200.6,-572208.0991
200.8,-572579.9351
201.0,-572263.106
201.2,-572473.565
201.4,-572559.6875
201.6,-572451.6168
201.8,-572837.3576
202.0,-572624.1293
202.2,-573192.1202
202.4,-573174.887
202.6,-573074.4956
202.8,-573077.7141
203.0,-573233.3106
203.2,-572835.8234
203.4,-572892.2083
203.6,-572966.8673
203.8,-573008.9111
204.0,-573040.4484
204.2,-572988.3026
204.4,-572816.4007
204.6,-572882.8627
204.8,-572653.7369
205.0,-572876.9794
205.2,-572510.5976
205.4,-572387.0107
205.6,-572419.6917
205.8,-572081.3205
206.0,-571934.0489
206.2,-571790.5421
206.4,-571840.7187
206.6,-572026.5438
206.8,-572378.6986
207.0,-572595.2707
207.2,-572087.2085
207.4,-572036.7288
207.6,-572515.603
207.8,-572609.8457
208.0,-572722.8256
208.2,-572429.9264
208.4,-571988.3538
208.6,-572310.0966
208.8,-572422.7752
209.0,-572231.9334
209.2,-571832.8539
209.4,-572284.0015
209.6,-572539.0292
209.8,-572741.8962
210.0,-572540.3409
210.2,-572271.118
210.4,-572172.5384
210.6,-572071.5635
210.8,-572018.3527
211.0,-571885.6733
211.2,-571974.4953
211.4,-571799.2317
211.6,-572274.803
211.8,-572018.301
212.0,-572047.18
212.2,-572282.9875
212.4,-572329.5846
212.6,-572455.795
212.8,-572473.9762
213.0,-572384.5102
213.2,-572358.0783
213.4,-572496.7324
213.6,-572521.5537
213.8,-572134.526
214.0,-572623.7363
214.2,-571990.5011
214.4,-572200.4525
214.6,-572211.3764
214.8,-572112.7277
215.0,-572177.7502
215.2,-572619.0256
215.4,-572908.3747
215.6,-572661.656
215.8,-572443.8978
216.0,-572582.0294
216.2,-572761.0989
216.4,-572765.7918
216.6,-572892.6427
216.8,-572922.3311
217.0,-573086.8396
217.2,-573015.7313
217.4,-572565.8143
217.6,-572708.2896
217.8,-572635.9878
218.0,-572469.2257
218.2,-573096.1439
218.4,-573201.398
218.6,-573033.3552
218.8,-572836.3331
219.0,-572422.3423
219.2,-572676.2112
219.4,-572556.9057
219.6,-572869.0048
219.8,-573020.593
220.0,-572813.2245
220.2,-572613.5011
220.4,-572505.3268
220.6,-573006.7767
220.8,-572905.21
221.0,-572809.3798
221.2,-572496.0775
221.4,-573031.4249
221.6,-572383.0368
221.8,-572077.3107
222.0,-572329.2718
222.2,-572526.6209
222.4,-572448.0122
222.6,-572656.5424
222.8,-572617.165
