Time (ps),TEMP
298.6,300.47
298.8,300.28
299.0,300.28
299.2,301.03
299.4,301.15
299.6,300.13
299.8,301.96
300.0,300.87
300.2,298.77
300.4,300.42
300.6,300.19
300.8,301.04
301.0,299.39
301.2,300.61
301.4,299.53
301.6,299.34
301.8,299.68
302.0,298.97
302.2,300.4
302.4,299.28
302.6,299.32
302.8,300.71
303.0,299.36
303.2,299.81
303.4,300.34
303.6,298.65
303.8,300.6
304.0,299.24
304.2,301.15
304.4,299.85
304.6,300.3
304.8,299.34
305.0,299.1
305.2,298.69
305.4,301.39
305.6,299.74
305.8,300.69
306.0,300.05
306.2,299.17
306.4,298.54
306.6,299.12
306.8,299.23
307.0,298.59
307.2,299.52
307.4,299.22
307.6,299.1
307.8,299.97
308.0,300.45
308.2,300.39
308.4,298.98
308.6,299.63
308.8,300.68
309.0,300.64
309.2,302.13
309.4,300.77
309.6,299.94
309.8,301.71
310.0,301.08
310.2,302.13
310.4,300.8
310.6,300.65
310.8,299.99
311.0,299.25
311.2,299.93
311.4,299.98
311.6,299.89
311.8,300.04
312.0,298.87
312.2,299.62
312.4,299.27
312.6,299.61
312.8,299.72
313.0,299.89
313.2,299.68
313.4,299.86
313.6,299.84
313.8,299.28
314.0,301.3
314.2,299.24
314.4,299.95
314.6,300.17
314.8,298.45
315.0,300.28
315.2,301.61
315.4,300.32
315.6,301.33
315.8,301.59
316.0,301.24
316.2,300.46
316.4,300.48
316.6,300.36
316.8,300.84
317.0,299.49
317.2,300.12
317.4,300.77
317.6,301.33
317.8,300.98
318.0,300.52
318.2,300.26
318.4,300.05
318.6,299.37
318.8,298.77
319.0,299.01
319.2,298.86
319.4,298.04
319.6,300.42
319.8,300.28
320.0,300.1
320.2,299.81
320.4,300.2
320.6,300.86
320.8,300.92
321.0,300.71
321.2,300.25
321.4,300.17
321.6,299.79
321.8,300.26
322.0,300.5
322.2,300.01
322.4,299.93
322.6,298.48
322.8,300.8
323.0,301.6
323.2,299.73
323.4,299.57
323.6,299.5
323.8,298.8
324.0,300.28
324.2,299.95
324.4,299.18
324.6,298.6
324.8,300.13
325.0,298.69
325.2,299.59
325.4,299.87
325.6,300.0
325.8,299.1
326.0,300.86
326.2,299.51
326.4,300.75
326.6,300.39
326.8,301.56
327.0,301.26
327.2,301.51
327.4,300.2
327.6,300.31
327.8,299.97
328.0,299.79
328.2,299.22
328.4,299.19
328.6,300.92
328.8,299.81
329.0,301.29
329.2,301.25
329.4,300.84
329.6,300.89
329.8,300.7
330.0,300.59
330.2,300.1
330.4,301.75
330.6,300.23
330.8,300.49
331.0,298.71
331.2,299.47
331.4,299.3
331.6,299.21
331.8,298.29
332.0,298.78
332.2,299.76
332.4,300.71
332.6,300.63
332.8,300.51
333.0,300.8
333.2,302.66
333.4,301.82
333.6,301.58
333.8,301.47
334.0,302.29
334.2,300.75
334.4,299.84
334.6,299.83
334.8,299.57
335.0,299.27
335.2,301.58
335.4,301.75
335.6,300.52
335.8,299.59
336.0,300.93
336.2,300.05
336.4,300.78
336.6,300.31
336.8,300.89
337.0,300.59
337.2,299.06
337.4,300.3
337.6,297.98
337.8,299.09
338.0,299.18
338.2,299.89
338.4,299.32
338.6,300.61
338.8,299.05
339.0,299.38
339.2,299.89
339.4,299.89
339.6,299.53
339.8,299.19
340.0,299.54
340.2,300.46
340.4,299.52
340.6,299.49
340.8,298.48
341.0,299.01
341.2,299.78
341.4,300.42
341.6,300.62
341.8,300.76
342.0,299.44
342.2,300.63
342.4,300.86
342.6,299.08
342.8,299.1
343.0,299.74
343.2,300.76
343.4,301.53
343.6,299.98
343.8,301.97
344.0,301.14
344.2,300.04
344.4,299.98
344.6,300.68
344.8,301.57
345.0,300.57
345.2,300.59
345.4,301.89
345.6,301.02
345.8,300.38
346.0,301.04
346.2,300.66
346.4,299.91
346.6,300.81
346.8,301.14
347.0,300.84
347.2,302.46
