Time (ps),EKTOT
257.0,89861.3788
257.2,89862.745
257.4,89937.4406
257.6,89977.1075
257.8,89799.5489
258.0,90136.8208
258.2,89871.567
258.4,89956.558
258.6,89479.345
258.8,89539.3466
259.0,90208.9519
259.2,89952.1645
259.4,90218.9012
259.6,89999.0792
259.8,90160.6082
260.0,90334.7204
260.2,90487.8135
260.4,89979.6385
260.6,90392.1992
260.8,90460.3526
261.0,90322.3085
261.2,90112.2652
261.4,90477.8567
261.6,90183.1886
261.8,90236.9914
262.0,90028.5768
262.2,90252.8729
262.4,90121.1404
262.6,90109.529
262.8,90196.9482
263.0,90347.5084
263.2,90044.1105
263.4,89796.6503
263.6,90182.8207
263.8,90008.6271
264.0,89951.1075
264.2,90000.612
264.4,90286.8157
264.6,90282.0644
264.8,90417.7929
265.0,90461.2467
265.2,89920.0739
265.4,90304.1217
265.6,89909.9211
265.8,90619.4828
266.0,90193.5967
266.2,90323.3604
266.4,89675.4487
266.6,90133.4927
266.8,90273.3514
267.0,89770.2173
267.2,90242.9079
267.4,90207.5206
267.6,89889.0467
267.8,89846.128
268.0,90080.2531
268.2,89883.5244
268.4,90024.7698
268.6,90185.6143
268.8,90471.9355
269.0,89750.1725
269.2,90090.1589
269.4,90110.116
269.6,90234.0985
269.8,89768.6987
270.0,90053.5079
270.2,89937.9212
270.4,90146.4515
270.6,90164.8123
270.8,89914.9485
271.0,89689.2767
271.2,89798.8058
271.4,89920.8932
271.6,90358.8802
271.8,90073.0187
272.0,90293.9798
272.2,90159.0391
272.4,89981.3184
272.6,90362.1518
272.8,89838.7618
273.0,90300.3206
273.2,90164.0556
273.4,89816.8374
273.6,89959.2851
273.8,90325.7133
274.0,90191.9195
274.2,89991.795
274.4,89913.3692
274.6,89811.5503
274.8,89904.8094
275.0,90406.1345
275.2,89786.3404
275.4,89966.0884
275.6,90354.9448
275.8,89773.0543
276.0,90071.2307
276.2,90039.5476
276.4,89885.966
276.6,89977.3431
276.8,90127.1046
277.0,89985.5034
277.2,89857.8272
277.4,89756.7161
277.6,89539.8297
277.8,90216.5991
278.0,90237.7968
278.2,90099.0739
278.4,90466.8854
278.6,90217.5965
278.8,89813.7221
279.0,90563.6717
279.2,90391.5365
279.4,90314.5238
279.6,90342.6002
279.8,90228.8526
280.0,90302.402
280.2,90574.412
280.4,90327.2618
280.6,90282.2032
280.8,90508.1479
281.0,90106.6148
281.2,90340.3413
281.4,90113.8376
