Time (ps),EKTOT
294.8,83488.1383
295.0,83860.7164
295.2,84386.3221
295.4,84036.4616
295.6,83879.5805
295.8,83902.4718
296.0,83816.2027
296.2,84167.866
296.4,84287.9977
296.6,83930.9189
296.8,84143.5952
297.0,83672.7416
297.2,83798.8659
297.4,84058.1788
297.6,84160.8848
297.8,84285.3489
298.0,83913.4364
298.2,84359.7671
298.4,84347.8031
298.6,84414.9402
298.8,84672.9563
299.0,84405.746
299.2,84321.4234
299.4,84126.6119
299.6,84092.2918
299.8,84124.0913
300.0,83694.5049
300.2,84122.7635
300.4,84530.3274
300.6,83928.6823
300.8,83996.0025
301.0,83799.9307
301.2,84085.6061
