Time (ps),Radius of gyration ($\AA$)
14400.0,31.406630827372716
14420.0,31.36967068349423
14440.0,31.34973162018355
14460.0,31.379849097879216
14480.0,31.39211471583965
14500.0,31.40720104510704
14520.0,31.405280781615144
14540.0,31.401468214361167
14560.0,31.391950156408843
14580.0,31.427975550982303
14600.0,31.41152300544934
14620.0,31.413634324560235
14640.0,31.374665558709626
14660.0,31.38701658942231
14680.0,31.401968640141476
14700.0,31.383608823478703
14720.0,31.37068843717429
14740.0,31.362203212496983
14760.0,31.3706438690296
14780.0,31.428223939694508
14800.0,31.41036479745529
14820.0,31.38497570394312
14840.0,31.37570937224113
14860.0,31.391355494683843
14880.0,31.398090450389994
14900.0,31.404415492836396
14920.0,31.388862145037752
14940.0,31.376304473366076
14960.0,31.38581685915826
14980.0,31.39785269900208
15000.0,31.388553228207137
15020.0,31.354182843416528
15040.0,31.37916846028374
15060.0,31.37097979878125
15080.0,31.388342664919
15100.0,31.36414305374774
15120.0,31.376857838958664
15140.0,31.38481132175359
15160.0,31.423450371352246
15180.0,31.363410994384438
15200.0,31.36744188846434
15220.0,31.370432678678405
15240.0,31.387327252130575
15260.0,31.39159196795043
15280.0,31.391135096200838
15300.0,31.380688648601033
15320.0,31.38726980555954
15340.0,31.40112512994128
15360.0,31.377783639782916
15380.0,31.40322178201891
15400.0,31.402298163554654
15420.0,31.410871987705622
15440.0,31.3791551602406
15460.0,31.39955541010621
15480.0,31.37070599337271
15500.0,31.369342668993784
15520.0,31.409232341241943
15540.0,31.358668001341478
15560.0,31.406280152800758
15580.0,31.369526725965915
15600.0,31.39375853374895
15620.0,31.380670983517714
15640.0,31.369434889727383
15660.0,31.420425599792356
15680.0,31.385619436797853
15700.0,31.400091850569
15720.0,31.409991864450845
15740.0,31.405639253009987
15760.0,31.421451466026223
15780.0,31.423431090490354
15800.0,31.381656756196737
15820.0,31.401799101877675
15840.0,31.36721135597133
15860.0,31.381992142141716
15880.0,31.397766080264972
15900.0,31.377874347543553
15920.0,31.390600519320916
15940.0,31.4102564779775
15960.0,31.404638060772733
15980.0,31.41860452148856
16000.0,31.412161973185736
16020.0,31.410947574936227
16040.0,31.43880714292799
16060.0,31.420054880646855
16080.0,31.40284880012629
16100.0,31.39625239093065
16120.0,31.405363712968303
16140.0,31.43377023853726
16160.0,31.399914516160795
16180.0,31.420717460546765
16200.0,31.421168054008856
16220.0,31.418344961427493
16240.0,31.388778648383365
16260.0,31.37256411519089
16280.0,31.3660334889512
16300.0,31.39476782659873
16320.0,31.406578698403006
16340.0,31.393767094744714
16360.0,31.39269141422539
16380.0,31.42834741149712
16400.0,31.389702024840588
16420.0,31.401369718652116
16440.0,31.383037348473668
16460.0,31.434705972186528
16480.0,31.37445376996613
16500.0,31.376339692314275
16520.0,31.374037970541156
16540.0,31.444565142980977
16560.0,31.40494600895184
16580.0,31.40549521594706
16600.0,31.41338520107629
16620.0,31.367528284457915
16640.0,31.389170425532782
16660.0,31.439290637721626
16680.0,31.41771810932498
16700.0,31.39618012827064
16720.0,31.402091626377512
16740.0,31.41993305227112
16760.0,31.415849009907802
16780.0,31.388028136641754
16800.0,31.38291242444488
16820.0,31.3997928384168
16840.0,31.423477141743223
16860.0,31.39916460179294
16880.0,31.390740268420963
16900.0,31.4383838085394
16920.0,31.39484408501462
16940.0,31.379406956078963
16960.0,31.367654118279717
16980.0,31.377618295331466
17000.0,31.37162121968136
17020.0,31.377006323956092
17040.0,31.40541782194979
17060.0,31.378290693999027
17080.0,31.370045292218965
17100.0,31.385039524192916
17120.0,31.39060091107255
17140.0,31.36257186970096
17160.0,31.382539612376238
17180.0,31.388336121664018
17200.0,31.382591295010677
17220.0,31.397445737777964
17240.0,31.371809769343358
17260.0,31.400137790055904
17280.0,31.390964432311893
17300.0,31.37775844586694
17320.0,31.414082051765444
17340.0,31.37127040938318
17360.0,31.391456685919856
17380.0,31.420001207697855
17400.0,31.374716562246135
17420.0,31.389190126110368
17440.0,31.427633390003248
17460.0,31.379780572890635
17480.0,31.380367393376854
17500.0,31.392105844631402
17520.0,31.39995863010223
17540.0,31.38762662886154
17560.0,31.372566665196555
17580.0,31.36034030370156
17600.0,31.431305631543072
17620.0,31.423492923257253
17640.0,31.38784664775574
17660.0,31.354595579792065
17680.0,31.384348960424802
17700.0,31.392569843880167
17720.0,31.357207813603043
17740.0,31.35484620251341
17760.0,31.41694005967756
17780.0,31.400109214450993
17800.0,31.377522842345865
17820.0,31.39406195608137
17840.0,31.399032060899742
17860.0,31.38866750760974
17880.0,31.385962257090245
17900.0,31.359837011188855
17920.0,31.363848772198963
17940.0,31.37187188979717
17960.0,31.39200003152954
17980.0,31.385589147152206
18000.0,31.384049448484795
18020.0,31.372406614918336
18040.0,31.316428141878788
18060.0,31.37628540949109
18080.0,31.393036279825346
18100.0,31.331825521152144
18120.0,31.36075323025684
18140.0,31.391106257868973
18160.0,31.380741108068605
18180.0,31.35807802671543
18200.0,31.40564227456671
18220.0,31.359725097960563
18240.0,31.40732692832512
18260.0,31.377098583235984
18280.0,31.383990815054048
18300.0,31.35998261923516
18320.0,31.40719596707076
18340.0,31.36557089037166
18360.0,31.37002507982404
18380.0,31.365434787682812
18400.0,31.365282406515142
18420.0,31.395578195195366
18440.0,31.35629415935046
18460.0,31.381834016283058
18480.0,31.40719817443518
18500.0,31.387543558003973
18520.0,31.393033102157965
18540.0,31.366744541751597
18560.0,31.353266525549767
18580.0,31.375287207607442
18600.0,31.36980749749232
18620.0,31.41624466146526
18640.0,31.366906125205187
18660.0,31.375114560975504
18680.0,31.357809906738623
18700.0,31.340346032884593
18720.0,31.368603406896412
18740.0,31.38712588649924
18760.0,31.371329001099813
18780.0,31.39878092390748
18800.0,31.355585681209945
18820.0,31.376701037007248
18840.0,31.369491826361052
18860.0,31.39411190959215
18880.0,31.388243911551793
18900.0,31.3564759847986
18920.0,31.361386868216083
18940.0,31.396118976436608
18960.0,31.377699702306593
18980.0,31.38621027398533
19000.0,31.378220052156124
19020.0,31.346465941083437
19040.0,31.344303515407653
19060.0,31.39095192300936
19080.0,31.35171601274847
19100.0,31.346629395921003
19120.0,31.370138316311923
19140.0,31.406704327231427
19160.0,31.36828032420474
19180.0,31.368493712104918
19200.0,31.39626004640069
19220.0,31.36802546484244
19240.0,31.359066637815214
19260.0,31.373157423888248
19280.0,31.373117212577466
19300.0,31.37435149114242
19320.0,31.35039951763706
19340.0,31.343115930511868
19360.0,31.358422625366288
19380.0,31.356914963201195
19400.0,31.38634938239754
19420.0,31.42470353241649
19440.0,31.36713627520585
19460.0,31.367698826654586
19480.0,31.376155471685458
19500.0,31.38635020987171
19520.0,31.355906147240475
19540.0,31.372010928001714
19560.0,31.384092723702903
19580.0,31.333161419268276
19600.0,31.38135961767429
19620.0,31.380091195488593
19640.0,31.363112728385975
19660.0,31.325519730950123
19680.0,31.36627042848211
19700.0,31.370886811485835
19720.0,31.32177943196483
19740.0,31.396665482065277
19760.0,31.36949396302648
19780.0,31.358594593625334
19800.0,31.371344989173124
19820.0,31.386984331915983
19840.0,31.383328487859142
19860.0,31.364761485130217
19880.0,31.390678477070693
19900.0,31.37445177422508
19920.0,31.404790478418914
19940.0,31.38868905137554
19960.0,31.349220712259406
19980.0,31.371426427138186
20000.0,31.348376514659286
20020.0,31.352644490323733
20040.0,31.372209185784023
20060.0,31.339603034148528
20080.0,31.371099109914127
20100.0,31.36205077318785
20120.0,31.367464657732846
20140.0,31.383786398862856
20160.0,31.37014434189356
20180.0,31.35496411288867
20200.0,31.39285282551004
20220.0,31.395243440169626
20240.0,31.38823963052667
20260.0,31.384986268653243
20280.0,31.34044773290051
20300.0,31.430513536369737
20320.0,31.361216744502283
20340.0,31.397808405360387
20360.0,31.38357752438136
20380.0,31.37953231467657
20400.0,31.395865339457966
20420.0,31.40961201858332
20440.0,31.358178910136136
20460.0,31.392713201535845
20480.0,31.357537088305733
20500.0,31.378856818176107
20520.0,31.39767694097122
20540.0,31.367470605997777
20560.0,31.41276462230577
20580.0,31.399085978544385
20600.0,31.415818659225817
20620.0,31.390710347409506
20640.0,31.373626318580477
20660.0,31.334732849225233
20680.0,31.38776412549945
20700.0,31.364536588525173
20720.0,31.403550774243204
20740.0,31.350797109173183
20760.0,31.3836362056939
20780.0,31.405633649473057
20800.0,31.3837721958302
20820.0,31.3965051358872
20840.0,31.375920193584417
20860.0,31.37250943096848
20880.0,31.383905244190075
20900.0,31.38819559900042
20920.0,31.411675044588662
20940.0,31.40293557219062
20960.0,31.399290239281132
20980.0,31.390910736734092
21000.0,31.40333888307914
21020.0,31.37414876666722
21040.0,31.429968313652427
21060.0,31.39536194596349
21080.0,31.40297157880068
21100.0,31.413358233258336
21120.0,31.401257836730657
21140.0,31.405378271619604
21160.0,31.413359844953625
21180.0,31.384237636491857
21200.0,31.424703567262465
21220.0,31.41554609657341
21240.0,31.409208828421228
21260.0,31.403679517762747
21280.0,31.385363382009622
21300.0,31.38535284036959
21320.0,31.391685487122658
21340.0,31.41913968483053
21360.0,31.39886313041066
21380.0,31.417460782680028
21400.0,31.431932441179065
21420.0,31.438304381524137
21440.0,31.419108533199786
